ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,CommunityID
GO:0002684,positive regulation of immune system process,39/64,247/3978,4.57923543733352e-32,6.94212092299761e-29,4.47318998510053e-29,C1QC/C1QA/PTPRC/FYB1/CSF1R/C1QB/LAPTM5/PIK3AP1/HAVCR2/DOCK8/CTSS/LAT2/FPR1/CD14/TLR2/NCKAP1L/HCLS1/FCGR3A/RBM47/CD300A/CCR1/C3AR1/SYK/HCK/C3/TLR1/ITGB2/SPI1/FCER1G/CYBA/VSIG4/SASH3/TYROBP/RAC2/RUNX1/BTK/RASAL3/ITGAM/TLR7,39,1
GO:0002682,regulation of immune system process,42/64,344/3978,2.9466621321451e-30,2.15680515392084e-27,1.38974807862696e-27,C1QC/C1QA/PTPRC/FYB1/CSF1R/C1QB/LAPTM5/PIK3AP1/HAVCR2/DOCK8/CTSS/LAT2/FPR1/CD14/TLR2/NCKAP1L/HCLS1/FCGR2A/FCGR3A/RBM47/CD300A/CCR1/C3AR1/SYK/HCK/SCIN/C3/TLR1/ITGB2/SPI1/FCER1G/CYBA/VSIG4/SASH3/TYROBP/RAC2/RUNX1/BTK/RASAL3/ITGAM/WAS/TLR7,42,1
GO:0006955,immune response,42/64,347/3978,4.26808407767977e-30,2.15680515392084e-27,1.38974807862696e-27,C1QC/C1QA/DOCK2/PTPRC/FYB1/CSF1R/C1QB/LCP1/LAPTM5/PIK3AP1/HAVCR2/CTSS/LAT2/FPR1/CD14/TLR2/APBB1IP/LAIR1/NCKAP1L/FCGR2A/FCGR3A/RBM47/CD300A/CCR1/C3AR1/SYK/HCK/C3/TLR1/ITGB2/ALOX5/SPI1/FCER1G/CYBA/VSIG4/SASH3/TYROBP/RAC2/BTK/ITGAM/WAS/TLR7,42,1
GO:0050776,regulation of immune response,35/64,215/3978,1.02212156504389e-28,3.87384073151634e-26,2.49612845358087e-26,C1QC/C1QA/PTPRC/FYB1/C1QB/LAPTM5/PIK3AP1/HAVCR2/CTSS/LAT2/FPR1/CD14/TLR2/NCKAP1L/FCGR2A/FCGR3A/RBM47/CD300A/C3AR1/SYK/HCK/C3/TLR1/ITGB2/SPI1/FCER1G/CYBA/VSIG4/SASH3/TYROBP/RAC2/BTK/ITGAM/WAS/TLR7,35,1
GO:0050778,positive regulation of immune response,31/64,179/3978,6.59154908855493e-26,1.99855768364986e-23,1.28778053772189e-23,C1QC/C1QA/PTPRC/FYB1/C1QB/LAPTM5/PIK3AP1/HAVCR2/CTSS/LAT2/FPR1/CD14/TLR2/NCKAP1L/RBM47/CD300A/C3AR1/SYK/HCK/C3/TLR1/ITGB2/SPI1/FCER1G/CYBA/VSIG4/SASH3/TYROBP/BTK/ITGAM/TLR7,31,1
GO:0002252,immune effector process,27/64,144/3978,2.84054358315997e-23,7.1771067867842e-21,4.62460428977624e-21,C1QC/C1QA/DOCK2/PTPRC/C1QB/LCP1/LAPTM5/HAVCR2/LAT2/APBB1IP/NCKAP1L/FCGR3A/CD300A/SYK/HCK/C3/ITGB2/SPI1/FCER1G/VSIG4/SASH3/TYROBP/RAC2/BTK/ITGAM/WAS/TLR7,27,1
GO:0002253,activation of immune response,26/64,135/3978,1.11659213512415e-22,2.4182195383546e-20,1.55819173142138e-20,C1QC/C1QA/PTPRC/FYB1/C1QB/LAPTM5/PIK3AP1/HAVCR2/CTSS/LAT2/FPR1/CD14/TLR2/NCKAP1L/CD300A/C3AR1/SYK/HCK/C3/TLR1/FCER1G/CYBA/VSIG4/TYROBP/BTK/TLR7,26,1
GO:0006952,defense response,35/64,353/3978,4.01297083750271e-21,7.60457973706763e-19,4.90004860158225e-19,C1QC/C1QA/PTPRC/CSF1R/C1QB/LAPTM5/PIK3AP1/HAVCR2/CTSS/FPR1/CD14/TLR2/SERPINA1/FCGR3A/ALOX5AP/RBM47/CD300A/CCR1/C3AR1/SYK/HCK/C3/TLR1/ITGB2/ALOX5/SPI1/FCER1G/CYBA/ABI3/VSIG4/TYROBP/BTK/ITGAM/WAS/TLR7,35,1
GO:0045321,leukocyte activation,29/64,212/3978,4.89631912760322e-21,8.24757755271831e-19,5.31436742738688e-19,C1QA/DOCK2/PTPRC/LCP1/LAPTM5/HAVCR2/IKZF1/DOCK8/LAT2/TLR2/APBB1IP/NCKAP1L/FCGR3A/CD300A/SYK/TLR1/ITGB2/SPI1/FCER1G/WDFY4/VSIG4/SASH3/TYROBP/RAC2/RUNX1/BTK/RASAL3/ITGAM/WAS,29,1
GO:0001775,cell activation,29/64,248/3978,4.52741745599096e-19,6.8635648632823e-17,4.42257199911538e-17,C1QA/DOCK2/PTPRC/LCP1/LAPTM5/HAVCR2/IKZF1/DOCK8/LAT2/TLR2/APBB1IP/NCKAP1L/FCGR3A/CD300A/SYK/TLR1/ITGB2/SPI1/FCER1G/WDFY4/VSIG4/SASH3/TYROBP/RAC2/RUNX1/BTK/RASAL3/ITGAM/WAS,29,1
