symbol,ensembl_gene_id,subpathway
GAD1,ENSG00000128683,synthesis
GAD2,ENSG00000136750,synthesis
SLC6A1,ENSG00000157103,transport
SLC6A11,ENSG00000132164,transport
SLC6A13,ENSG00000150995,transport
SLC32A1,ENSG00000101438,transport
GABRA1,ENSG00000022355,gabaa_receptors
GABRA2,ENSG00000151834,gabaa_receptors
GABRA3,ENSG00000011677,gabaa_receptors
GABRA4,ENSG00000109158,gabaa_receptors
GABRA5,ENSG00000186297,gabaa_receptors
GABRA6,ENSG00000145863,gabaa_receptors
GABRB1,ENSG00000163288,gabaa_receptors
GABRB2,ENSG00000145864,gabaa_receptors
GABRB3,ENSG00000166206,gabaa_receptors
GABRG1,ENSG00000163285,gabaa_receptors
GABRG2,ENSG00000113327,gabaa_receptors
GABRG3,ENSG00000182256,gabaa_receptors
GABRD,ENSG00000187730,gabaa_receptors
GABRE,ENSG00000102287,gabaa_receptors
GABRP,ENSG00000094755,gabaa_receptors
GABRQ,ENSG00000268089,gabaa_receptors
GABBR1,ENSG00000204681,gabab_receptors
GABBR2,ENSG00000136928,gabab_receptors
ABAT,ENSG00000183044,catabolism
ALDH5A1,ENSG00000112294,catabolism
PVALB,ENSG00000100362,interneuron_markers
SST,ENSG00000157005,interneuron_markers
VIP,ENSG00000146469,interneuron_markers
CCK,ENSG00000187094,interneuron_markers
CALB1,ENSG00000104327,interneuron_markers
CALB2,ENSG00000172137,interneuron_markers
NPY,ENSG00000122585,interneuron_markers
NLGN2,ENSG00000169992,synapse_organizers
NLGN3,ENSG00000196338,synapse_organizers
NRXN1,ENSG00000179915,synapse_organizers
NRXN3,ENSG00000021645,synapse_organizers
SLITRK3,ENSG00000184731,synapse_organizers
GPHN,ENSG00000171723,synapse_organizers
ARHGEF9,ENSG00000131089,synapse_organizers
