node,degree,pagerank,pagerank_norm,kcore,membership
ENSG00000159189,17,0.000421705455839025,0.222636280061121,7,1
ENSG00000276168,8,0.000263216132594365,0.131529253301602,5,2
ENSG00000138757,811,0.000918484885409489,0.508208177630439,234,3
ENSG00000131095,7,0.000230855959881794,0.112927122502447,5,2
ENSG00000110955,636,0.000712271195689786,0.389666967643254,234,4
ENSG00000131100,708,0.000785493925352634,0.431758794740653,234,4
ENSG00000085433,663,0.000773252676046632,0.42472195588451,234,3
ENSG00000152556,555,0.000630796650712175,0.342831613705652,234,4
ENSG00000155097,791,0.000975124184414849,0.540767078283676,234,3
ENSG00000114573,554,0.000662447282653718,0.361025867502814,234,3
ENSG00000173726,663,0.00075436940373014,0.41386697359911,234,4
ENSG00000139112,813,0.000915560761176825,0.506527255160335,234,3
ENSG00000213190,438,0.000554261464448397,0.298835632650103,211,3
ENSG00000147416,498,0.000589849007600262,0.319293005928411,230,3
ENSG00000166913,588,0.00068092646476461,0.371648559963126,234,3
ENSG00000161203,765,0.000862618815740872,0.476093765125877,234,5
ENSG00000050748,712,0.000866404918756527,0.478270193049852,234,3
ENSG00000120265,752,0.000839504453007788,0.462806555483361,234,3
ENSG00000198888,7,0.000231659508356313,0.113389039500209,5,2
ENSG00000169139,749,0.000858929717030011,0.473973099783329,234,5
ENSG00000031698,770,0.000881942655619554,0.487202006115751,234,4
ENSG00000154917,602,0.000829994506132776,0.457339796166799,228,3
ENSG00000159377,517,0.000707801304499723,0.387097466506344,230,4
ENSG00000213585,736,0.000815359020996017,0.448926639313736,234,4
ENSG00000119125,92,0.000183517358976371,0.0857146952477052,73,3
ENSG00000159720,732,0.00082774650813252,0.456047542469378,234,5
ENSG00000213760,581,0.000677376175673661,0.3696076888395,234,3
ENSG00000151729,616,0.000771913581972249,0.423952182393334,234,5
ENSG00000089818,627,0.000759173842810466,0.416628788407165,234,3
ENSG00000131437,709,0.000855754183492481,0.472147655563765,234,3
ENSG00000198513,444,0.000523544042308493,0.281177831205879,228,3
ENSG00000240694,564,0.000678005533268615,0.369969472826401,234,3
ENSG00000010256,557,0.000619517602574321,0.336347892786918,234,4
ENSG00000102003,351,0.000477524111540667,0.254723436814509,192,3
ENSG00000138430,771,0.000853783020626032,0.471014539563618,234,4
ENSG00000144834,366,0.000456538951094482,0.242660191573869,204,3
ENSG00000111674,433,0.000490207719720596,0.262014564104341,234,3
ENSG00000133318,493,0.000587764282904007,0.318094609312163,223,3
ENSG00000104388,752,0.000871286315270251,0.481076246566234,234,4
ENSG00000136143,647,0.000718388771762415,0.393183634605684,234,5
ENSG00000165943,706,0.000825515930679535,0.454765302911925,234,3
ENSG00000146701,839,0.000960141123463292,0.532154118703138,234,4
ENSG00000159164,451,0.000574189262070125,0.310291056611869,210,3
ENSG00000057757,691,0.000780059003403204,0.428634549085833,234,3
ENSG00000061918,673,0.000793531362743913,0.436379087189974,234,3
ENSG00000198932,415,0.000503562444641244,0.26969148047828,227,3
ENSG00000154277,372,0.000445040312475167,0.236050239843741,208,3
ENSG00000181789,755,0.000887076215972841,0.490153015123194,234,4
ENSG00000013275,577,0.000681809164214545,0.372155976619084,234,4
ENSG00000065154,568,0.000622033141218779,0.337793941277146,234,4
ENSG00000167770,780,0.000877398423597788,0.484589770414742,234,5
ENSG00000163536,212,0.000272210375942332,0.136699562270112,149,3
ENSG00000163875,793,0.00092373869458148,0.511228311245894,234,5
ENSG00000162378,600,0.00079125392162991,0.43506990822278,234,5
ENSG00000162188,339,0.000420995100706205,0.222227934926133,208,3
ENSG00000113575,755,0.000835938377627725,0.460756609667287,234,4
ENSG00000100554,695,0.000770808137513559,0.423316721557126,234,4
ENSG00000142686,596,0.000724861786411742,0.396904624176449,234,3
ENSG00000167863,508,0.000591950966609617,0.320501309628574,234,4
ENSG00000177889,828,0.000947114937552131,0.524666061816489,234,3
ENSG00000167778,682,0.00079368227477855,0.436465838439184,234,5
ENSG00000107758,663,0.000807809291320423,0.444586703919351,234,3
ENSG00000108395,579,0.00073793633194911,0.404420480423136,234,3
ENSG00000134287,383,0.000493459447412453,0.263883808263957,228,5
ENSG00000158560,336,0.000413863180381515,0.218128175758978,199,3
ENSG00000165678,654,0.000732848976670507,0.40149603223941,234,4
ENSG00000116750,494,0.000572356973334727,0.309237771914645,234,4
ENSG00000143106,481,0.000605701661698288,0.328405848052727,234,4
ENSG00000197872,667,0.000795520514121868,0.43752254382232,234,3
ENSG00000134108,725,0.00085124864056924,0.469557660154168,234,5
ENSG00000086300,285,0.000382345398068194,0.200010290100601,186,3
ENSG00000182013,427,0.00051638842139889,0.277064447841337,214,3
ENSG00000149313,690,0.000797514781034299,0.438668941101561,234,3
ENSG00000198804,11,0.000315972509873733,0.161856070137756,5,2
ENSG00000004059,644,0.000715675477483759,0.391623906988762,234,4
ENSG00000125814,381,0.0004874699094216,0.26044074353986,202,3
ENSG00000129625,690,0.000783669125270579,0.43070981486931,234,5
ENSG00000156515,789,0.000927897101146261,0.513618756547939,234,5
ENSG00000128683,3,0.000323629966475058,0.166257931974277,2,6
ENSG00000157064,363,0.000490737914967257,0.262319344966145,192,3
ENSG00000129636,593,0.000670381544737601,0.365586849991694,234,3
ENSG00000103769,646,0.000759121677609886,0.416598801426163,234,4
ENSG00000196262,555,0.00061078130615873,0.331325863699913,234,4
ENSG00000178662,418,0.000564504658370456,0.304723896437559,199,3
ENSG00000175203,692,0.000800929562398191,0.440631916087691,234,4
ENSG00000167005,759,0.000923785032674104,0.511254948534503,234,4
ENSG00000173372,11,0.000281282990592807,0.141914922704604,7,1
ENSG00000149269,447,0.000652194475793324,0.355132077751764,204,3
ENSG00000198934,148,0.000197294602577548,0.0936344949903492,125,3
ENSG00000068912,699,0.000775488085681234,0.42600697320447,234,4
ENSG00000105649,435,0.000531824534262779,0.285937842710859,215,3
ENSG00000022355,172,0.000290553049284694,0.147243783147779,117,3
ENSG00000069329,755,0.000854723004103703,0.471554885740259,234,5
ENSG00000165637,593,0.000676272637563562,0.368973323861035,234,4
ENSG00000165434,115,0.000196955219757727,0.0934394019770525,88,3
ENSG00000134717,659,0.000741276897777883,0.406340792871465,234,4
ENSG00000120805,689,0.000838859661445604,0.462435899335,234,4
ENSG00000165280,605,0.000690117685358933,0.376932100604832,234,4
ENSG00000132341,667,0.000781723113082328,0.429591156647546,234,4
ENSG00000164031,314,0.000432340104145286,0.228749570016438,210,5
ENSG00000198961,570,0.000634630371641086,0.345035414618598,234,4
ENSG00000197885,572,0.000634730365525338,0.345092895749199,234,5
ENSG00000196937,493,0.000562630643512358,0.30364662562632,234,5
ENSG00000100764,598,0.000691504812778322,0.377729485894452,234,4
ENSG00000087470,630,0.000734060168379404,0.402192281508283,234,3
ENSG00000139182,387,0.000526984944522874,0.283155821670502,199,3
ENSG00000078668,595,0.000658333701197908,0.358661189756077,234,3
ENSG00000089737,770,0.000874627589938665,0.482996966488522,234,3
ENSG00000122873,730,0.000804413522421388,0.442634658181381,234,5
ENSG00000171617,178,0.000283731038910463,0.143322174619239,118,3
ENSG00000019582,3,0.000323629966475058,0.166257931974277,2,7
ENSG00000111669,554,0.000616859640655027,0.334819972781018,234,4
ENSG00000120053,352,0.000409478992971855,0.215607941137029,216,3
ENSG00000186462,401,0.000508800125413523,0.272702342740221,204,3
ENSG00000177432,280,0.000353363274291835,0.183350018781477,185,3
ENSG00000109180,698,0.000812890106389623,0.447507392486841,234,4
ENSG00000176788,259,0.000346229265271973,0.179249058935293,156,3
ENSG00000101654,623,0.000757769693834496,0.415821618335963,234,3
ENSG00000128245,446,0.000573215874440238,0.309731508176505,210,3
ENSG00000070718,725,0.000857041328903479,0.47288756654958,234,3
ENSG00000115685,498,0.00057590768685971,0.311278887022674,234,4
ENSG00000073969,419,0.00052131406584545,0.279895937125367,210,3
ENSG00000170027,381,0.000490267016476818,0.262048650634873,201,3
ENSG00000152234,617,0.000699790099568922,0.382492253694124,234,4
ENSG00000184613,238,0.000355726708414793,0.18470863052564,148,3
ENSG00000174607,32,0.000492942602119816,0.263586701575994,12,8
ENSG00000131507,615,0.000712426490453594,0.389756238288823,234,3
ENSG00000128609,576,0.000664078032747968,0.361963298425183,234,4
ENSG00000164924,591,0.000671040587670812,0.365965698490271,234,3
ENSG00000111667,656,0.000779128473828206,0.428099637451697,234,4
ENSG00000158301,569,0.00064739155106072,0.35237113346114,234,3
ENSG00000074590,486,0.000641992617301382,0.349267575490073,215,3
ENSG00000175582,725,0.000806909415364088,0.444069413409457,234,5
ENSG00000111726,598,0.000688287798645945,0.375880196701691,234,5
ENSG00000092096,664,0.000744259838700933,0.408055525907954,234,4
ENSG00000142875,552,0.000648762355489336,0.353159135537262,234,5
ENSG00000116675,439,0.000518681580942842,0.278382662492377,222,3
ENSG00000075945,537,0.000605839089640053,0.328484848018854,234,3
ENSG00000139637,460,0.000527618617823151,0.28352008652534,234,4
ENSG00000083720,526,0.000631604085208559,0.343295764569335,234,3
ENSG00000102226,632,0.000764718972516401,0.419816386600917,234,4
ENSG00000079785,672,0.000747647439456105,0.410002876217322,234,4
ENSG00000104435,232,0.0003198845245178,0.16410487791587,149,3
ENSG00000164209,513,0.000629371461980611,0.342012349005382,234,5
ENSG00000166681,612,0.000718444331463576,0.393215572903336,234,4
ENSG00000131263,722,0.000863154703098345,0.476401818077444,234,4
ENSG00000133169,206,0.000254810749002556,0.126697448280637,162,3
ENSG00000114279,233,0.000378364780709867,0.197722046294899,143,3
ENSG00000070087,509,0.000568849626434499,0.307221585957433,234,3
ENSG00000175874,320,0.00045691750237822,0.242877800440077,164,3
