membership,mod_size,n_gaba,gaba_genes,odds_ratio,p_value,p_adj,is_enriched,region,condition,cohort
4,774,16,ENSG00000113327;ENSG00000109158;ENSG00000166206;ENSG00000187730;ENSG00000131089;ENSG00000136928;ENSG00000021645;ENSG00000150995;ENSG00000011677;ENSG00000187094;ENSG00000179915;ENSG00000101438;ENSG00000182256;ENSG00000186297;ENSG00000157005;ENSG00000171723,11.1025420542505,4.20853763189436e-08,4.6293913950838e-07,TRUE,DLPFC,AD,ROSMAP
3,590,5,ENSG00000128683;ENSG00000022355;ENSG00000145864;ENSG00000136750;ENSG00000104327,1.83160015729519,0.178459673795363,0.981528205874496,FALSE,DLPFC,AD,ROSMAP
5,821,1,ENSG00000100362,0.200873248458444,0.990766839868238,1,FALSE,DLPFC,AD,ROSMAP
1,924,1,ENSG00000163285,0.173385992817616,0.995234113907226,1,FALSE,DLPFC,AD,ROSMAP
2,129,0,"",0,1,1,FALSE,DLPFC,AD,ROSMAP
6,603,0,"",0,1,1,FALSE,DLPFC,AD,ROSMAP
7,63,0,"",0,1,1,FALSE,DLPFC,AD,ROSMAP
9,251,0,"",0,1,1,FALSE,DLPFC,AD,ROSMAP
10,56,0,"",0,1,1,FALSE,DLPFC,AD,ROSMAP
28,14,0,"",0,1,1,FALSE,DLPFC,AD,ROSMAP
30,11,0,"",0,1,1,FALSE,DLPFC,AD,ROSMAP
5,882,16,ENSG00000113327;ENSG00000131089;ENSG00000166206;ENSG00000187730;ENSG00000109158;ENSG00000145864;ENSG00000187094;ENSG00000136928;ENSG00000150995;ENSG00000101438;ENSG00000021645;ENSG00000179915;ENSG00000011677;ENSG00000104327;ENSG00000186297;ENSG00000182256,8.16472590577339,1.99276256535775e-07,1.99276256535775e-06,TRUE,DLPFC,control,ROSMAP
4,1184,3,ENSG00000128683;ENSG00000136750;ENSG00000022355,0.48153716940742,0.937519968791326,1,FALSE,DLPFC,control,ROSMAP
9,660,1,ENSG00000169992,0.29600061365276,0.962952662074347,1,FALSE,DLPFC,control,ROSMAP
2,1220,2,ENSG00000163285;ENSG00000196338,0.296393343695866,0.986832465997702,1,FALSE,DLPFC,control,ROSMAP
1,185,0,"",0,1,1,FALSE,DLPFC,control,ROSMAP
3,161,0,"",0,1,1,FALSE,DLPFC,control,ROSMAP
6,890,0,"",0,1,1,FALSE,DLPFC,control,ROSMAP
8,270,0,"",0,1,1,FALSE,DLPFC,control,ROSMAP
10,25,0,"",0,1,1,FALSE,DLPFC,control,ROSMAP
12,20,0,"",0,1,1,FALSE,DLPFC,control,ROSMAP
4,848,15,ENSG00000131089;ENSG00000113327;ENSG00000187730;ENSG00000136750;ENSG00000101438;ENSG00000166206;ENSG00000128683;ENSG00000022355;ENSG00000145864;ENSG00000104327;ENSG00000169992;ENSG00000021645;ENSG00000109158;ENSG00000150995;ENSG00000204681,49.9154953329958,3.93416970642849e-09,5.11442061835704e-08,TRUE,HCN,AD,ROSMAP
7,303,1,ENSG00000186297,0.729830348473683,0.753410256812106,1,FALSE,HCN,AD,ROSMAP
1,13,0,"",0,1,1,FALSE,HCN,AD,ROSMAP
2,94,0,"",0,1,1,FALSE,HCN,AD,ROSMAP
3,908,0,"",0,1,1,FALSE,HCN,AD,ROSMAP
5,986,0,"",0,1,1,FALSE,HCN,AD,ROSMAP
6,221,0,"",0,1,1,FALSE,HCN,AD,ROSMAP
8,23,0,"",0,1,1,FALSE,HCN,AD,ROSMAP
12,39,0,"",0,1,1,FALSE,HCN,AD,ROSMAP
14,26,0,"",0,1,1,FALSE,HCN,AD,ROSMAP
15,15,0,"",0,1,1,FALSE,HCN,AD,ROSMAP
17,14,0,"",0,1,1,FALSE,HCN,AD,ROSMAP
18,14,0,"",0,1,1,FALSE,HCN,AD,ROSMAP
4,890,14,ENSG00000187730;ENSG00000131089;ENSG00000166206;ENSG00000113327;ENSG00000136750;ENSG00000022355;ENSG00000145864;ENSG00000104327;ENSG00000101438;ENSG00000128683;ENSG00000109158;ENSG00000021645;ENSG00000150995;ENSG00000204681,21.6401649996186,1.30770287230985e-08,1.56924344677182e-07,TRUE,HCN,control,ROSMAP
16,10,1,ENSG00000186297,34.0254822895391,0.0337872727679693,0.202723636607816,FALSE,HCN,control,ROSMAP
2,901,1,ENSG00000163285,0.280740006307141,0.967118330490722,1,FALSE,HCN,control,ROSMAP
7,1208,1,ENSG00000169992,0.193439834321273,0.991390962414198,1,FALSE,HCN,control,ROSMAP
1,15,0,"",0,1,1,FALSE,HCN,control,ROSMAP
3,1228,0,"",0,1,1,FALSE,HCN,control,ROSMAP
5,307,0,"",0,1,1,FALSE,HCN,control,ROSMAP
6,25,0,"",0,1,1,FALSE,HCN,control,ROSMAP
9,133,0,"",0,1,1,FALSE,HCN,control,ROSMAP
10,55,0,"",0,1,1,FALSE,HCN,control,ROSMAP
11,16,0,"",0,1,1,FALSE,HCN,control,ROSMAP
17,14,0,"",0,1,1,FALSE,HCN,control,ROSMAP
