gene,degree_AD,strength_AD,degree_ctrl,strength_ctrl,delta_degree,delta_strength,ratio_degree,jaccard_neighbors,rewiring_score,region,cohort
ENSG00000011677,560,288.736377,360,171.574861,200,117.161516,1.55555555555556,0.52317880794702,0.47682119205298,DLPFC,ROSMAP
ENSG00000021645,190,93.097684,145,65.818121,45,27.279563,1.31034482758621,0.565420560747664,0.434579439252336,DLPFC,ROSMAP
ENSG00000022355,564,290.896655,349,163.608477,215,127.288178,1.61604584527221,0.516611295681063,0.483388704318937,DLPFC,ROSMAP
ENSG00000100362,3,1.333125,0,0,3,1.333125,,0,1,DLPFC,ROSMAP
ENSG00000101438,95,45.103593,165,75.191421,-70,-30.087828,0.575757575757576,0.361256544502618,0.638743455497382,DLPFC,ROSMAP
ENSG00000104327,54,25.099865,29,12.473338,25,12.626527,1.86206896551724,0.238805970149254,0.761194029850746,DLPFC,ROSMAP
ENSG00000109158,455,228.883228,324,153.8732,131,75.0100280000001,1.40432098765432,0.551792828685259,0.448207171314741,DLPFC,ROSMAP
ENSG00000113327,824,444.598543,758,380.598936,66,63.9996070000005,1.08707124010554,0.635987590486039,0.364012409513961,DLPFC,ROSMAP
ENSG00000128683,299,147.232284,140,64.346166,159,82.886118,2.13571428571429,0.407051282051282,0.592948717948718,DLPFC,ROSMAP
ENSG00000131089,532,274.747561,517,252.846885,15,21.900676,1.02901353965184,0.654574132492114,0.345425867507886,DLPFC,ROSMAP
ENSG00000136750,255,123.384317,105,48.318619,150,75.065698,2.42857142857143,0.353383458646617,0.646616541353384,DLPFC,ROSMAP
ENSG00000136928,66,31.940389,95,43.677842,-29,-11.737453,0.694736842105263,0.477064220183486,0.522935779816514,DLPFC,ROSMAP
ENSG00000145864,579,296.444341,265,122.49676,314,173.947581,2.18490566037736,0.416107382550336,0.583892617449664,DLPFC,ROSMAP
ENSG00000146469,0,0,3,1.344081,-3,-1.344081,0,0,1,DLPFC,ROSMAP
ENSG00000150995,198,95.705102,225,104.442797,-27,-8.73769499999997,0.88,0.566666666666667,0.433333333333333,DLPFC,ROSMAP
ENSG00000151834,0,0,1,0.417914,-1,-0.417914,0,0,1,DLPFC,ROSMAP
