region,gene,degree_AD,strength_AD,degree_ctrl,strength_ctrl,delta_degree,delta_strength,ratio_degree,jaccard_neighbors,rewiring_score,cohort,symbol,subpathway
TC,ENSG00000179915,506,265.984467,64,31.346408,442,234.638059,7.90625,0.0458715596330275,0.954128440366972,Mayo,NRXN1,synapse_organizers
TC,ENSG00000011677,619,330.765916,216,109.078587,403,221.687329,2.86574074074074,0.246268656716418,0.753731343283582,Mayo,GABRA3,gabaa_receptors
TC,ENSG00000150995,561,298.247098,315,159.059877,246,139.187221,1.78095238095238,0.356037151702786,0.643962848297214,Mayo,SLC6A13,transport
TC,ENSG00000182256,496,262.094804,257,128.641754,239,133.45305,1.92996108949416,0.291595197255575,0.708404802744425,Mayo,GABRG3,gabaa_receptors
TC,ENSG00000022355,766,415.553351,552,283.192183,214,132.361168,1.38768115942029,0.456353591160221,0.543646408839779,Mayo,GABRA1,gabaa_receptors
TC,ENSG00000136928,800,436.111581,608,310.930943,192,125.180638,1.31578947368421,0.513978494623656,0.486021505376344,Mayo,GABBR2,gabab_receptors
TC,ENSG00000166206,807,440.314415,619,316.821157,188,123.493258,1.30371567043619,0.493193717277487,0.506806282722513,Mayo,GABRB3,gabaa_receptors
TC,ENSG00000187730,332,172.275579,146,72.832199,186,99.44338,2.27397260273973,0.281501340482574,0.718498659517426,Mayo,GABRD,gabaa_receptors
TC,ENSG00000109158,737,398.072513,562,286.506629,175,111.565884,1.31138790035587,0.462837837837838,0.537162162162162,Mayo,GABRA4,gabaa_receptors
TC,ENSG00000021645,374,194.565594,202,100.526491,172,94.039103,1.85148514851485,0.285714285714286,0.714285714285714,Mayo,NRXN3,synapse_organizers
DLPFC,ENSG00000145864,579,296.444341,265,122.49676,314,173.947581,2.18490566037736,0.416107382550336,0.583892617449664,ROSMAP,GABRB2,gabaa_receptors
DLPFC,ENSG00000022355,564,290.896655,349,163.608477,215,127.288178,1.61604584527221,0.516611295681063,0.483388704318937,ROSMAP,GABRA1,gabaa_receptors
DLPFC,ENSG00000011677,560,288.736377,360,171.574861,200,117.161516,1.55555555555556,0.52317880794702,0.47682119205298,ROSMAP,GABRA3,gabaa_receptors
DLPFC,ENSG00000128683,299,147.232284,140,64.346166,159,82.886118,2.13571428571429,0.407051282051282,0.592948717948718,ROSMAP,GAD1,synthesis
DLPFC,ENSG00000136750,255,123.384317,105,48.318619,150,75.065698,2.42857142857143,0.353383458646617,0.646616541353384,ROSMAP,GAD2,synthesis
DLPFC,ENSG00000109158,455,228.883228,324,153.8732,131,75.0100280000001,1.40432098765432,0.551792828685259,0.448207171314741,ROSMAP,GABRA4,gabaa_receptors
